trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
MMB10MD,6:15:00,6:15:00,BZUSP1,1,0,0,0
MMB10MD,6:16:45,6:16:45,BDPNP1,2,0,0,0
MMB10MD,6:18:30,6:18:30,MMKSP1,3,0,0,0
MMB10MD,6:20:51,6:20:51,NBPNP1,4,0,0,0
MMB10MD,6:22:20,6:22:20,SMCSP1,5,0,0,0
MMB10MD,6:23:45,6:23:45,SBZNP1,6,0,0,0
MMB10MD,6:25:30,6:25:30,CN6SP1,7,0,0,0
MMB10MD,6:28:14,6:28:14,GHTSP1,8,0,0,0
MMB10MD,6:32:42,6:32:42,CN9NP1,9,0,0,0
MMB10MD,6:36:00,6:36:00,QSFSP1,10,0,0,0
MMB10MD,6:38:42,6:38:42,DLGWP1,11,0,0,0
MMB10MD,6:40:45,6:40:45,HZJSP1,12,0,0,0
MMB10MD,6:42:03,6:42:03,MZBSP1,13,0,0,0
MMB10MD,6:43:39,6:43:39,AHBSP1,14,0,0,0
MMB10MD,6:46:20,6:46:20,BCGSP1,15,0,0,0
MMB10MD,6:49:25,6:49:25,PSCEP1,16,0,0,0
MMB10MD,6:52:12,6:52:12,VHCNP1,17,0,0,0
MMB10MD,6:53:36,6:53:36,GBSNP1,18,0,0,0
MMB10MD,6:55:56,6:55:56,JNPNP1,19,0,0,0
MMB10MD,6:57:40,6:57:40,SRANP1,20,0,0,0
MMB10MD,7:00:27,7:00:27,KWCNP1,21,0,0,0
MMB11MD,6:15:00,6:15:00,KWCNP2,1,0,0,0
MMB11MD,6:16:45,6:16:45,SRANP2,2,0,0,0
MMB11MD,6:18:30,6:18:30,JNPNP2,3,0,0,0
MMB11MD,6:20:51,6:20:51,GBSNP2,4,0,0,0
MMB11MD,6:22:20,6:22:20,VHCNP2,5,0,0,0
MMB11MD,6:23:45,6:23:45,PSCEP2,6,0,0,0
MMB11MD,6:25:30,6:25:30,BCGSP2,7,0,0,0
MMB11MD,6:28:14,6:28:14,AHBSP2,8,0,0,0
MMB11MD,6:32:42,6:32:42,MZBSP2,9,0,0,0
MMB11MD,6:36:00,6:36:00,HZJSP2,10,0,0,0
