stop_id,level_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id
AHBEE1,L0,Ahmedabad,30.183714,71.489881,2,AHBMMB14,ZMMBF
AHBEE2,L0,Ahmedabad,30.183349,71.490044,2,AHBMMB14,ZMMBF
AHBEG1,L0,Ahmedabad,30.183655,71.489911,3,AHBMMB14,ZMMBF
AHBEG1a,L0,Ahmedabad,30.18366,71.489934,3,AHBMMB14,ZMMBF
AHBEG2,L0,Ahmedabad,30.183435,71.490003,3,AHBMMB14,ZMMBF
AHBEG3,L0,Ahmedabad,30.18346,71.490028,3,AHBMMB14,ZMMBF
AHBEG4,L1,Ahmedabad,30.183461,71.490027,3,AHBMMB14,ZMMBF
AHBEG5,L1,Ahmedabad,30.18349,71.489989,3,AHBMMB14,ZMMBF
AHBEG5a,L1,Ahmedabad,30.183497,71.490016,3,AHBMMB14,ZMMBF
AHBMMB14,L0,Ahmedabad,30.183525,71.48988,1,,ZMMBF
AHBSB1,L2,Ahmedabad,30.183856,71.489727,3,AHBMMB14,ZMMBF
AHBSG10,L2,Ahmedabad,30.183649,71.489792,3,AHBMMB14,ZMMBF
AHBSG10a,L2,Ahmedabad,30.183663,71.489847,3,AHBMMB14,ZMMBF
AHBSG6,L1,Ahmedabad,30.18345,71.489881,3,AHBMMB14,ZMMBF
AHBSG6a,L1,Ahmedabad,30.183469,71.489935,3,AHBMMB14,ZMMBF
AHBSG7,L1,Ahmedabad,30.183433,71.489924,3,AHBMMB14,ZMMBF
AHBSG8,L2,Ahmedabad,30.183435,71.489925,3,AHBMMB14,ZMMBF
AHBSG9,L2,Ahmedabad,30.183619,71.489805,3,AHBMMB14,ZMMBF
AHBSG9a,L2,Ahmedabad,30.183636,71.489857,3,AHBMMB14,ZMMBF
AHBSP1,L2,Ahmedabad,30.183953,71.489684,0,AHBMMB14,ZMMBF
AHBSP2,L2,Ahmedabad,30.183763,71.489783,0,AHBMMB14,ZMMBF
AHBWE1,L0,Ahmedabad,30.183633,71.489636,2,AHBMMB14,ZMMBF
AHBWE2,L0,Ahmedabad,30.183279,71.489837,2,AHBMMB14,ZMMBF
AHBWG1,L0,Ahmedabad,30.18358,71.489686,3,AHBMMB14,ZMMBF
AHBWG1a,L0,Ahmedabad,30.183565,71.489656,3,AHBMMB14,ZMMBF
AHBWG2,L0,Ahmedabad,30.183358,71.489809,3,AHBMMB14,ZMMBF
AHBWG3,L0,Ahmedabad,30.183377,71.489781,3,AHBMMB14,ZMMBF
AHBWG4,L1,Ahmedabad,30.183379,71.489782,3,AHBMMB14,ZMMBF
AHBWG5,L1,Ahmedabad,30.183413,71.489782,3,AHBMMB14,ZMMBF
AHBWG5a,L1,Ahmedabad,30.183405,71.489752,3,AHBMMB14,ZMMBF
BCGEE1,L0,BCG Chowk,30.172393,71.491675,2,BCGMMB15,ZMMBF
BCGEG1,L0,BCG Chowk,30.172472,71.491674,3,BCGMMB15,ZMMBF
BCGEG1a,L0,BCG Chowk,30.172475,71.491702,3,BCGMMB15,ZMMBF
BCGEG3,L0,BCG Chowk,30.172685,71.491675,3,BCGMMB15,ZMMBF
BCGEG4,L-1,BCG Chowk,30.172687,71.491675,3,BCGMMB15,ZMMBF
